  Order ID ,Customer Name,Order Date,Product ,Quantity,Unit Price,Region
1001,Alice Johnson,01/15/2024,Widget A,2,19.99,North
1002,  Bob Smith  ,2024-01-16,Widget B,1,29.50,South
1003,Carol White,15-Jan-2024,Widget A,3,19.99,East
1004,Dave Brown,01/17/24,Widget C,,45.00,West
1001,Alice Johnson,01/15/2024,Widget A,2,19.99,North
1005,Eve Davis,January 18 2024,Widget B,2,,North
1006,  Frank Miller,2024/01/19,Widget D,1,12.00,South
1007,,01/20/2024,Widget A,5,19.99,East
1008,Grace Lee,21-01-2024,Widget C,2,45.00,West
1009,Henry Wilson,2024-01-22,  Widget B  ,1,29.50,North
1010,Ivy Chen,01/23/2024,Widget A,4,19.99,
1011,Jack Taylor,Jan 24 2024,Widget D,3,12.00,South
1012,Kelly Moore,2024-01-25,Widget C,1,45.00,East
1002,  Bob Smith  ,2024-01-16,Widget B,1,29.50,South
1013,Liam Scott,01/26/2024,Widget A,,19.99,West
1014,Mia Patel,27/01/2024,Widget B,2,29.50,North
1015,Noah Kim,2024-01-28,Widget D,1,12.00,South
1016,Olivia Ross,01-29-2024,Widget C,2,45.00,East
1017,Paul Adams,2024.01.30,Widget A,3,19.99,West
1018,Quinn Baker,01/31/2024,Widget B,1,29.50,North
